courseCode;courseName;hp;level;fall;spring;period1;period2;url
TEIO06;Innovativt entreprenörskap;6;A1X;0;1;;2;https://liu.se/studieinfo/kurs/TEIO06
TEIE44;Intellectual Property Rights;4;G1X;0;1;;1;https://liu.se/studieinfo/kurs/TEIE44
TDDC73;Interaktionsprogrammering;6;G2X;1;0;;1;https://liu.se/studieinfo/kurs/TDDC73
TEIM13;Interkulturell kommunikation;6;G1X;1;0;;4;https://liu.se/studieinfo/kurs/TEIM13
TSIN02;Internetteknik;6;A1X;1;0;;1;https://liu.se/studieinfo/kurs/TSIN02
TAOP33;Kombinatorisk optimering gk;4;G2X;1;0;2;;https://liu.se/studieinfo/kurs/TAOP33
TDDB44;Kompilatorkonstruktion;6;A1X;1;0;;1;https://liu.se/studieinfo/kurs/TDDB44
TSKS33;Komplexa nätverk och stora datamängder;6;A1X;1;0;;3;https://liu.se/studieinfo/kurs/TSKS33
TDDD20;Konstruktion och analys av algoritmer;6;A1X;0;1;3;;https://liu.se/studieinfo/kurs/TDDD20
TSIT03;Kryptoteknik;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TSIT03
TGTU04;Ledarskap;6;G2X;1;0;;2;https://liu.se/studieinfo/kurs/TGTU04
TEIO13;Ledarskap och industriellt förändringsarbete;6;A1X;0;1;4;;https://liu.se/studieinfo/kurs/TEIO13
TDDD08;Logikprogrammering;6;A1X;1;0;4;;https://liu.se/studieinfo/kurs/TDDD08
TDDE01;Maskininlärning;6;A1X;1;0;;1;https://liu.se/studieinfo/kurs/TDDE01
TSBB19;Maskininlärning för datorseende;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TSBB19
TBMI19;Medicinska informationssystem;6;A1X;1;0;2;3;https://liu.se/studieinfo/kurs/TBMI19
TDDE50;Megagame - design för hållbar utveckling i ett förändrat klimat;6;G2X;0;1;0;0;https://liu.se/studieinfo/kurs/TDDE50
TDDE51;Metoder och verktyg för stora distribuerade projekt;6;A1X;0;1;4;4;https://liu.se/studieinfo/kurs/TDDE51
TKMJ15;Miljömanagement;6;G1X;0;1;3;;https://liu.se/studieinfo/kurs/TKMJ15
TKMJ24;Miljöteknik;6;G1X;0;1;2;;https://liu.se/studieinfo/kurs/TKMJ24
TKMJ24;Miljöteknik;6;G1X;1;0;;1;https://liu.se/studieinfo/kurs/TKMJ24
TDDE02;Mjukvarutekniskt entreprenörskap;6;A1X;1;0;;2;https://liu.se/studieinfo/kurs/TDDE02
TDDE34;Mjukvaruverifiering;6;A1X;0;1;;1;https://liu.se/studieinfo/kurs/TDDE34
TNM079;Modellering och animering;6;A1X;0;1;;2;https://liu.se/studieinfo/kurs/TNM079
TSRT92;Modellering och inlärning för dynamiska system;6;A1X;1;0;3;;https://liu.se/studieinfo/kurs/TSRT92
TSKS12;Modern kanalkodning;6;A1X;1;0;1;;https://liu.se/studieinfo/kurs/TSKS12
TDDE13;Multiagentsystem;6;A1X;1;0;;1;https://liu.se/studieinfo/kurs/TDDE13
